TOTAL SUBCRIBER VIEWS,Column Labels,,,,,,,,,,,,,
TV CHANNEL,Jan,Feb,Mar,Grand Total, Feb MOM% , Mar MOM% ,,,,,,,,
Supersport Live Events,363,535,764,1662, 47.38 , 42.80 ,,TV CHANNEL,Jan,Feb,Mar,Grand Total, Feb MOM% , Mar MOM% 
ICC Cricket World Cup 2011,,317,1148,1465,#DIV/0!,262.1451104,,Supersport Live Events,363,535,764,1662, 47.38 , 42.80 
Channel O,272,367,411,1050, 34.93 , 11.99 ,,Channel O,272,367,411,1050, 34.93 , 11.99 
Trace TV,284,267,401,952, (5.99), 50.19 ,,Trace TV,284,267,401,952, (5.99), 50.19 
SuperSport Blitz,205,286,405,896, 39.51 , 41.61 ,,SuperSport Blitz,205,286,405,896, 39.51 , 41.61 
Africa Magic,264,279,316,859, 5.68 , 13.26 ,,Africa Magic,264,279,316,859, 5.68 , 13.26 
Cartoon Network,222,216,355,793, (2.70), 64.35 ,,Cartoon Network,222,216,355,793, (2.70), 64.35 
Boomerang,178,206,330,714, 15.73 , 60.19 ,,Boomerang,178,206,330,714, 15.73 , 60.19 
CNN,108,154,243,505, 42.59 , 57.79 ,,CNN,108,154,243,505, 42.59 , 57.79 
E! Entertainment,99,114,154,367, 15.15 , 35.09 ,,E! Entertainment,99,114,154,367, 15.15 , 35.09 
SawSee,60,77,118,255, 28.33 , 53.25 ,,SawSee,60,77,118,255, 28.33 , 53.25 
M-Net,39,39,38,116, -   , (2.56),,M-Net,39,39,38,116, -   , (2.56)
Vuzu,27,39,45,111, 44.44 , 15.38 ,,Vuzu,27,39,45,111, 44.44 , 15.38 
DStv Events 1,54,19,34,107, (64.81), 78.95 ,,DStv Events 1,54,19,34,107, (64.81), 78.95 
Break in transmission,,39,27,66,#DIV/0!,-30.76923077,,kykNET,16,10,19,45, (37.50), 90.00 
kykNET,16,10,19,45, (37.50), 90.00 ,,MK,12,7,13,32, (41.67), 85.71 
MK,12,7,13,32, (41.67), 85.71 ,,Grand Total,2203,2976,4821,10000, 35.09 , 62.00 
Wimbledon,,3,,3,#DIV/0!,-100,,,,,,,,
Live on SuperSport,,2,,2,#DIV/0!,-100,,,,,,,,
Grand Total,2203,2976,4821,10000, 35.09 , 62.00 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TV CHANNEL,,,,,,,,,,,,,,
Africa Magic,,,,,,,,,,,,,,
Boomerang,,,,,,,,,,,,,,
Break in transmission,,,,,,,,,,,,,,
Cartoon Network,,,,,,,,,,,,,,
Channel O,,,,,,,,,,,,,,
CNN,,,,,,,,,,,,,,
DStv Events 1,,,,,,,,,,,,,,
E! Entertainment,,,,,,,,,,,,,,
ICC Cricket World Cup 2011,,,,,,,,,,,,,,
kykNET,,,,,,,,,,,,,,
Live on SuperSport,,,,,,,,,,,,,,
MK,,,,,,,,,,,,,,
M-Net,,,,,,,,,,,,,,
SawSee,,,,,,,,,,,,,,
SuperSport Blitz,,,,,,,,,,,,,,
Supersport Live Events,,,,,,,,,,,,,,
Trace TV,,,,,,,,,,,,,,
Vuzu,,,,,,,,,,,,,,
Wimbledon,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,
